professor, teacher|أسْتاذ|noun|occupations|m|n
professors, teachers|أساتِذَة|noun|occupations|m|y
too, also|أيْضاً|adv|common||n
on, in, by, with, for|بِـ|prep|common||n
to learn|تَعَلَّمَ|verb|||n
university|جامِعَة|noun|education|f|n
universities|جامِعات|noun|education|f|y
side|جانِب|noun||m|n
wall|جَدار|noun||m|n
walls|جُدْران|noun||m|y
Aleppo|حَلَب|noun|places|f|n
mathematics, calculus|رياضِيّات|noun|subjects|f|n
of the sun, solar|شّمْسِيّ|adj|||n
thing, object|شَيْء|noun|common|m|n
things, objects|أشْياء|noun|common|m|y
class|صَفّ|noun|education|m|n
classes|صُفوف|noun|education|m|y
male student|طالِب|noun|education|m|n
male students|طُلاّب|noun|education|m|y
female student|طالِبة|noun|education|f|n
female students|طالِبات|noun|education|f|y
on|عَلى|prep|common||n
room|غُرْفَة|noun|household|f|n
rooms|غُرَف|noun|household|f|y
you’re welcome/excuse me|عَفْواً|phrase|common||n
of the moon, lunar|قَمَريّ|adj|||n
but (weak version)|لكِنْ|conj|common||n
but (strong version)|لكِنَّ|conj|common||n
if you would; please|لَوسَمَحْت|phrase|||n
not|لَيْسَ|particle|common||n
store, shop; place, location|مَحَلّ|noun|locations|m|n
stores, shops; places, locations|مَحَلات|noun|locations|m|y
with (someone; not thing)|مَعَ|prep|common||n
found; existing, present|مَوْجود|noun||m|n
found; existing, present (pl)|مَوْجودون|noun||m|y
there, there is/are|هُناكَ|pronoun|||n
and|وَ|conj|||n
literature|أدَب|noun|subjects|m|n
literature (pl)|آداب|noun|subjects|m|y
ground, land|أرْض|noun||f|n
grounds, lands|أراضٍ|noun||f|y
those (pl, dem)|أولائِكَ|pronoun|||n
house, home|بَيْت|noun|household|m|n
houses, homes|بُيوت|noun|household|m|y
those (dual, nom)|تانِكَ|pronoun|||n
trade, business, commerce|تحِبارة|noun||f|n
that (sing, nom)|تِلكَ|pronoun|common|f|n
those (dual, acc/gen)|تَيْنِكَ|pronoun|||n
right, law|حَقّ|noun||m|n
rights, laws|حُقوق|noun||m|y
that|ذلِكَ|pronoun|common|m|n
sport|رِياضَة|noun|sports|f|n
sports|رِياضات|noun|sports|f|y
of sports|رياضِيّ|adj|sports||n
medicine|طِبّ|noun|medical|m|n
a number of, several|عِدَّةُ|noun|common|f|n
science, discipline|عِلْم|noun|subjects|m|n
sciences, disciplines|عَلوم|noun|subjects|m|y
of science, scientific|عِلميّ|adj|subjects||n
college|كُلّيَّة|noun|education|f|n
colleges|كُلّيات|noun|education|f|y
language|لُغَة|noun|subjects|f|n
languages|لُغات|noun|subjects|f|y
of language, linguistic|لُغَويّ|adj|subjects||n
laboratory|مُخْتبر|noun|education|m|n
laboratories|مُخْتبرات|noun|education|m|y
swimming pool|مَسْبَح|noun|locations|f|n
swimming pools|مَسابِح|noun|locations|f|y
office|مَكْتَب|noun|locations|m|n
offices|مَكاتِب|noun|locations|m|y
library; bookstore; bookcase|مَكْتَبة|noun|locations|f|n
libraries; bookstores; bookcases|مَكْتَبات|noun|locations|f|y
playground, sports field|مَلْعَب|noun|sports|m|n
playgrounds, sports fields|مَلاعِب|noun|sports|m|y
these (dual, nom)|هاتانِ|pronoun||f|n
these (dual, acc/gen)|هاتَيْنِ|pronoun||f|n
these (dual, nom)|هذانِ|pronoun||m|n
these (dual, acc/gen)|هذَيْنِ|pronoun||m|n
engineering|هَنْدَسَة|noun|subjects|f|n
these (pl)|هؤُلاءِ|pronoun||m|n
a question particle to form yes/no questions|أَ|particle|||n
God|الله|noun|religious|m|n
a 14th-century Arab historian and sociologist|ابْنُ خَلْدون|noun|people||n
two|اِثنان|noun|numbers|m|n
four|أرْبَعة|noun|numbers|f|n
sorry (m, f)|آسِف، آسِفة|noun|common||n
or (particle used in questions)|أَمْ|conj|||n
woman|اِمرأة|noun|people|f|n
women|نِساء|noun|people|f|y
now|الآنَ|noun|common||n
English (language)|اﻹنكليزية|adj|subjects|f|n
or (used with statements)|أو|conj|common||n
card|بِطاقة|noun||f|n
cards|بِطاقات|noun||f|y
small town|بَلْدة|noun|places|f|n
small towns|بَلْدات|noun|places|f|y
nine|تِسْعة|noun|numbers|f|n
three|ثَلاثة|noun|numbers|f|n
eight|ثَمانِية|noun|numbers|f|n
name of a town in Syria|جَبْلة|noun|places|f|n
five|خَمْسة|noun|numbers|f|n
man|رَجُل|noun|people|m|n
men|رِجال|noun|people|m|y
number|رَقْم|noun|numbers|m|n
numbers|أرْقام|noun|numbers|m|y
plus|زائِد|noun||m|n
to equal|ساوى (يُساوي) مُساواة|verb|||n
seven|سَبْعة|noun|numbers|f|n
six|سِتّة|noun|numbers|f|n
to live, to reside|سَكَنَ (يَسْكُنُ) سَكَن|verb|||n
(student) living, residence, dormitory|سَكَنُ (الطُلاّبِ)|noun|education|m|n
street|شارع|noun|directions|m|n
streets|شَوارع|noun|directions|m|y
to want, will|شاءَ (يَشاءُ) مَشيئة|verb|||n
apartment|شَقّة|noun|household|f|n
apartments|شُقَق|noun|household|f|y
thank you|شُكْراً|phrase|common||n
zero|صِفْر|noun|numbers|m|n
zero (pl)|أصْفار|noun|numbers|m|y
Arabic (language)|العَرَبيّة|adj|subjects|f|n
to know|عَرَفَ (يَعرِقُ) مَعْرِفة|verb|||n
ten|عَشَرة|noun|numbers|f|n
address|عُنوان|noun|directions|m|n
addresses|عَناوين|noun|directions|m|y
French (language)|الفَرَنْسِيَّة|adj|subjects|f|n
word|كَلِمَة|noun|common|f|n
words|كَلِمات|noun|common|f|y
how many/much|كَمْ|particle|common||n
what (question particle used in front of nouns)|ما|particle|common||n
what (used with verbs)|ماذا|particle|common||n
married|مُتَزَوَّج|noun|family|m|n
married (pl)|مُتَزَوَّجون|noun|family|m|y
meaning|مَعْنى|noun||m|n
meanings|مَعانٍ/المعاني|noun||m|y
minus|ناقِص|noun||m|n
question particle for yes/no questions|هَلْ|particle|common||n
identity|هُوِيّة|noun||f|n
identities|هُوِيّات|noun||f|y
one|واحِد|noun|numbers|m|n
